Date,Session source / medium,Device category,Browser,Language,Page path and screen class,Landing page,Country,City,Total users,Sessions,Engaged sessions,Average session length (sec),Views,Conversions,Revenue,Calc Goals
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR1HOXaSanrgixsmkb0Nu5NsfqEDi3_T9QgCGFqd9u4yqatlkWxFWL-l51o,United States,Prebruno,1,1,1,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR2bnyButbG0h8ONlqjpOY8P1Mx3pMfKUrZlC1t2mtj-IleA-w3bVlaPG9Y,United States,San Tan Valley,1,1,1,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR3As459AUIu_1AzVVLiIpaRjnPVw6vSPFz4q_9TSghlm9EiPsV6OmaLbw8,United States,Phoenix,1,1,1,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR3ouIZcHUueuPDMoiraID1_b70o6OezsYIfkYNpTPyiVWUV_3adV7r8mJk,United States,Phoenix,1,1,1,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR0PHs40y1M3sGw4PpvZTe-ma0YwbwPY8DhLEGDN96rmR761seIUe9kve7I,/apprenticeship?fbclid=IwAR0PHs40y1M3sGw4PpvZTe-ma0YwbwPY8DhLEGDN96rmR761seIUe9kve7I,United States,Phoenix,1,1,0,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR0v-5Wom_6Ugkvt6JUzdfPIS9-m0MZXjlBwbVFjrOwV2nWiLum4wQgP0D0,/apprenticeship?fbclid=IwAR0v-5Wom_6Ugkvt6JUzdfPIS9-m0MZXjlBwbVFjrOwV2nWiLum4wQgP0D0,United States,Phoenix,1,1,0,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR1HOXaSanrgixsmkb0Nu5NsfqEDi3_T9QgCGFqd9u4yqatlkWxFWL-l51o,/apprenticeship?fbclid=IwAR1HOXaSanrgixsmkb0Nu5NsfqEDi3_T9QgCGFqd9u4yqatlkWxFWL-l51o,United States,Prebruno,1,1,0,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR2bnyButbG0h8ONlqjpOY8P1Mx3pMfKUrZlC1t2mtj-IleA-w3bVlaPG9Y,/apprenticeship?fbclid=IwAR2bnyButbG0h8ONlqjpOY8P1Mx3pMfKUrZlC1t2mtj-IleA-w3bVlaPG9Y,United States,San Tan Valley,1,1,0,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR3As459AUIu_1AzVVLiIpaRjnPVw6vSPFz4q_9TSghlm9EiPsV6OmaLbw8,/apprenticeship?fbclid=IwAR3As459AUIu_1AzVVLiIpaRjnPVw6vSPFz4q_9TSghlm9EiPsV6OmaLbw8,United States,Phoenix,1,1,0,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR3ouIZcHUueuPDMoiraID1_b70o6OezsYIfkYNpTPyiVWUV_3adV7r8mJk,/apprenticeship?fbclid=IwAR3ouIZcHUueuPDMoiraID1_b70o6OezsYIfkYNpTPyiVWUV_3adV7r8mJk,United States,Phoenix,1,1,0,0,1,0,,below
2022-08-18,m.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR1uGnntDpq7YyRvyGcsYX2qcftYx-ZiM5kazYMhei0tuIBeP8XwnVxCT3U,United States,Phoenix,1,1,1,0,1,0,,below
2022-08-18,m.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR1uGnntDpq7YyRvyGcsYX2qcftYx-ZiM5kazYMhei0tuIBeP8XwnVxCT3U,/apprenticeship?fbclid=IwAR1uGnntDpq7YyRvyGcsYX2qcftYx-ZiM5kazYMhei0tuIBeP8XwnVxCT3U,United States,Phoenix,1,1,0,0,1,0,,below
2022-08-18,m.facebook.com / referral,mobile,Safari (in-app),English,/apprenticeship,/apprenticeship,United States,Tucson,1,1,1,0,2,0,,below
2022-08-18,m.facebook.com / referral,mobile,Safari (in-app),English,/apprenticeship,/apprenticeship?fbclid=IwAR2m8fO4lwMm-Rfczb2TBqk1x30L0QXYKy_CuHhOHPUBtu3-HkdF3yPUu7w_aem_ATG5r-ogTVUJGwdNU-CDVaRKhJcGoF-t3-l1G4nlBcvOLH3x5UHxwu0ZpqMCN5cyswgt14iPsZOEZCK-e0CsVNFkmDIfKtaG65JiQedf2TPnHlImO2ZvyziLH077-TVxLlM,United States,Tucson,1,1,1,0,1,0,,below
2022-08-18,m.facebook.com / referral,mobile,Safari (in-app),English,/apprenticeship,/apprenticeship?fbclid=IwAR3k5XvktZmklqBMKUw95g2XrsVmksof0NwP7p4ydN6XiVjddE6ZEgNamXg_aem_ATGc9Z8KwaBGPvfwYyMD4VrXMKUdk_fYTTR9SIiF0xPGFgNozKzPNlhyFZCJZvgkvI1pcAUQxkWdebFA-do2ILdQvm3NvZ4Vb7WpH-hczK3Knfw6C8Av-Bgh-5dXjl2_2z8,United States,Tucson,1,1,1,0,1,0,,below
2022-08-18,m.facebook.com / referral,mobile,Safari (in-app),English,/apprenticeship%3Ffbclid=IwAR2m8fO4lwMm-Rfczb2TBqk1x30L0QXYKy_CuHhOHPUBtu3-HkdF3yPUu7w_aem_ATG5r-og,/apprenticeship?fbclid=IwAR2m8fO4lwMm-Rfczb2TBqk1x30L0QXYKy_CuHhOHPUBtu3-HkdF3yPUu7w_aem_ATG5r-ogTVUJGwdNU-CDVaRKhJcGoF-t3-l1G4nlBcvOLH3x5UHxwu0ZpqMCN5cyswgt14iPsZOEZCK-e0CsVNFkmDIfKtaG65JiQedf2TPnHlImO2ZvyziLH077-TVxLlM,United States,Tucson,1,1,0,0,1,0,,below
2022-08-18,m.facebook.com / referral,mobile,Safari (in-app),English,/apprenticeship%3Ffbclid=IwAR3k5XvktZmklqBMKUw95g2XrsVmksof0NwP7p4ydN6XiVjddE6ZEgNamXg_aem_ATGc9Z8K,/apprenticeship?fbclid=IwAR3k5XvktZmklqBMKUw95g2XrsVmksof0NwP7p4ydN6XiVjddE6ZEgNamXg_aem_ATGc9Z8KwaBGPvfwYyMD4VrXMKUdk_fYTTR9SIiF0xPGFgNozKzPNlhyFZCJZvgkvI1pcAUQxkWdebFA-do2ILdQvm3NvZ4Vb7WpH-hczK3Knfw6C8Av-Bgh-5dXjl2_2z8,United States,Tucson,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/,/?gtm_debug=1660813874318&lang=fr,Switzerland,Lausanne,1,1,1,2,2,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,12,9,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/%3Fgtm_debug=1660813874318&lang=fr,/?gtm_debug=1660813874318&lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/%3Fgtm_debug=1660813905237&lang=fr,/?gtm_debug=1660813874318&lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/%3Fgtm_debug=1660817423716&lang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/%3Fgtm_debug=1660819976383&lang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/%3Fgtm_debug=1660820542745&lang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/%3Fgtm_debug=1660821008906&lang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,3,4,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/apprenticeship,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,55,2,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/apprenticeship%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,14,2,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/classes,(not set),Switzerland,Lausanne,1,1,0,20,0,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/classes,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,146,8,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/classes%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,52,7,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/aerial-community-class-youth-adult,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/aerial-community-class-youth-adult%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/aerial-trapeze-dance-workshop-opportunity,(not set),Switzerland,Lausanne,1,1,0,0,0,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/aerial-trapeze-dance-workshop-opportunity,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,33,3,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/aerial-trapeze-dance-workshop-opportunity%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,3,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/community-workshop-into-winter-start-performance-festival,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/community-workshop-into-winter-start-performance-festival%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/somatic-therapy-for-seniors,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,20,3,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/somatic-therapy-for-seniors%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,3,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/youth-aerial-trapeze-ages-7-11,(not set),Switzerland,Lausanne,1,1,0,0,0,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/youth-aerial-trapeze-ages-7-11,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,2,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/event-details/youth-aerial-trapeze-ages-7-11%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/photos,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,2,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/sponsors-donors,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,1,0,1,0,,below
2022-08-18,tagassistant.google.com / referral,desktop,Chrome,French,/sponsors-donors%3Flang=fr,/sponsors-donors?lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-19,(direct) / (none),desktop,Chrome,English,/,/,United States,Tucson,3,3,3,11.33,8,0,,below
2022-08-19,(direct) / (none),desktop,Chrome,English,/,/event-details/somatic-therapy-for-seniors,United States,Tucson,1,1,0,21,2,0,,below
2022-08-19,(direct) / (none),desktop,Chrome,English,/apprenticeship,/,United States,Tucson,1,1,0,23,2,0,,below
2022-08-19,(direct) / (none),desktop,Chrome,English,/event-details/somatic-therapy-for-seniors,/event-details/somatic-therapy-for-seniors,United States,Tucson,1,1,1,2,2,0,,below
